"INF-5111","24702","4","Regular","INF-4111","Laboratorio de Introducción a la Programación","1","2","0","Licenciatura en Educación mención Informática Educativa","INF-5100","Cuarto semestre"
"OSI-1320","24702","4","Regular",,"Estrategia de Desarrollo del Pensamiento","2","0","2","Licenciatura en Educación mención Informática Educativa",,"Cuarto semestre"
"BIT-2270","24702","5","Regular",,"Recurso Tecnológico de Comunicación Educativa","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Quinto semestre"
"BIT-3250","24702","5","Regular",,"Diseño Instruccional y Tecnológico I","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Quinto semestre"
"BIT-3260","24702","5","Regular",,"Herramientas Educativa Colaborativas Internet I","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Quinto semestre"
"INF-3240","24702","5","Regular",,"Sistemas Operativos","4","2","3","Licenciatura en Educación mención Informática Educativa",,"Quinto semestre"
"INF-5120","24702","5","Regular",,"Lenguaje de Programación I","4","0","4","Licenciatura en Educación mención Informática Educativa","INF-5100","Quinto semestre"
"","","","",,,,,,,"INF-5111",
"","","","",,,,,,,"INF-5130",
"INF-5130","24702","5","Regular",,"Laboratorio de Lenguaje de Programación","1","2","0","Licenciatura en Educación mención Informática Educativa","INF-5120","Quinto semestre"
"","","","",,,,,,,"INF-5100",
"","","","",,,,,,,"INF-5111",
"TEG-3610","24702","5","Regular","PED-1600","Metodología Educativa","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Quinto semestre"
"","","","","PED-3610",,,,,,,
"","","","","PED-4610",,,,,,,
"","","","","PED-1600",,,,,,,
"","","","","PED-4610",,,,,,,
"BIT-2120","24702","6","Regular",,"Didáctica Práctica Docente en Información Educativa I","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Sexto semestre"
"BIT-2280","24702","6","Regular",,"Innovaciones Técnológica en Gestión Escolar","2","3","2","Licenciatura en Educación mención Informática Educativa",,"Sexto semestre"
"BIT-2290","24702","6","Regular",,"Diseño y Gestión de Proyectos de Innovación Educativa","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Sexto semestre"
"BIT-3230","24702","6","Regular",,"Desarrollo de Recursos Educativos Digitales","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Sexto semestre"
"BIT-3270","24702","6","Regular",,"Diseño Instruccional y Tecnológico II","3","3","2","Licenciatura en Educación mención Informática Educativa",,"Sexto semestre"
"INF-3220","24702","6","Regular",,"Algoritmos Computacionales","5","2","4","Licenciatura en Educación mención Informática Educativa",,"Sexto semestre"
"TEG-4310","24702","6","Regular","PED-2310","Administración y Legislación Escolar","3","0","3","Licenciatura en Educación mención Informática Educativa","TEG-3140","Sexto semestre"
"","","","","PED-3330",,,,,,,
"","","","","PED-4310",,,,,,,
"","","","","PED-2310",,,,,,,
"","","","","PED-3330",,,,,,,
"BIT-2190","24702","7","Regular",,"Didáctica Práctica Docen en Inf Educ II","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Séptimo semestre"
"BIT-3200","24702","7","Regular",,"Innovación Tecnológica Educativa","4","3","3","Licenciatura en Educación mención Informática Educativa",,"Séptimo semestre"
"BIT-3240","24702","7","Regular",,"Plan Ped Recursos Didácticos Digitales","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Séptimo semestre"
"BIT-4210","24702","7","Regular",,"Técnicas de Aprendizanje en Ambientes Virtuales","4","2","3","Licenciatura en Educación mención Informática Educativa",,"Séptimo semestre"
"BIT-ZZZ0","24702","7","Regular",,"Asignaturas Optativas","0","0","0","Licenciatura en Educación mención Informática Educativa",,"Séptimo semestre"
"TEG-4270","24702","7","Regular",,"Técnica de Elaboración de Proyecto de Investigación Educativa","3","2","2","Licenciatura en Educación mención Informática Educativa",,"Séptimo semestre"
